benchmark,route,label,seed,count,mean,sd,q01,q05,q25,q50,q75,q95,q99
FineCops-Ref,Frozen base,positive,73,9605,0.4034019739432517,0.10238950794137047,0.18049853622913362,0.24939551055431367,0.3314395546913147,0.3941216766834259,0.47324657440185547,0.5812764525413512,0.6520528721809387
FineCops-Ref,Frozen base,negative-text,73,9814,0.37829300518418485,0.11366530486194823,0.08560665056109429,0.19230527952313425,0.3053958937525749,0.3742673695087433,0.45593737065792084,0.5664771676063538,0.6265640032291414
FineCops-Ref,Frozen base,negative-image,73,8507,0.3672172964533148,0.1186319045897986,0.0688957293331623,0.15970633178949356,0.2940487712621689,0.3643166720867157,0.44837531447410583,0.5639463901519776,0.6247998118400574
FineCops-Ref,Isolated rejector,positive,73,9605,1.1061824472876094,0.4475666492583715,-0.06231147289276122,0.36811437010765075,0.819043755531311,1.1054421663284302,1.4195020198822021,1.8199508190155027,2.0536289787292463
FineCops-Ref,Isolated rejector,negative-text,73,9814,0.9504463795169396,0.5309009302978704,-0.5527660566568374,-0.039957653731107684,0.6510524749755859,0.9834239482879639,1.3211913108825684,1.7545531392097473,1.9606173479557052
FineCops-Ref,Isolated rejector,negative-image,73,8507,0.900534471749832,0.563338500081707,-0.5776032340526581,-0.21247136890888213,0.5884322226047516,0.9396589994430542,1.2953574061393738,1.7403209686279295,1.9698325061798103
gRefCOCO restricted Full,Frozen base,positive,17,11563,0.4203281089130953,0.11180275867803917,0.2030467927455902,0.27766668498516084,0.34650132060050964,0.40010231733322144,0.47296425700187683,0.6461224138736724,0.7528052830696105
gRefCOCO restricted Full,Frozen base,no-target,17,9121,0.3409357439637145,0.11042269352085456,0.07583322823047638,0.1482967585325241,0.2751083970069885,0.34425121545791626,0.40676814317703247,0.523009181022644,0.6241331815719603
gRefCOCO restricted Full,Isolated rejector,positive,17,11563,0.6305983585580084,0.3550170410157487,-0.2771870815753937,0.13669653832912446,0.40566860139369965,0.5863766670227051,0.8382652103900909,1.2922216892242426,1.4846431899070738
gRefCOCO restricted Full,Isolated rejector,no-target,17,9121,0.30650396525154067,0.4295472436891752,-0.814162278175354,-0.54057776927948,0.0746372789144516,0.3524734079837799,0.5756272077560425,0.9604983925819397,1.2692312717437737
gRefCOCO restricted Full,Frozen base,positive,42,11563,0.4203281089130953,0.11180275867803917,0.2030467927455902,0.27766668498516084,0.34650132060050964,0.40010231733322144,0.47296425700187683,0.6461224138736724,0.7528052830696105
gRefCOCO restricted Full,Frozen base,no-target,42,9121,0.3409357439637145,0.11042269352085456,0.07583322823047638,0.1482967585325241,0.2751083970069885,0.34425121545791626,0.40676814317703247,0.523009181022644,0.6241331815719603
gRefCOCO restricted Full,Isolated rejector,positive,42,11563,0.8899127652150666,0.5186489620403678,-0.43534393310546876,0.14210453033447265,0.5506904721260071,0.8280245065689087,1.2140379548072815,1.8466508626937863,2.084419975280761
gRefCOCO restricted Full,Isolated rejector,no-target,42,9121,0.41873430016237895,0.6027027110679644,-0.9664340138435363,-0.7289804220199585,0.06206926703453064,0.45992445945739746,0.8008682131767273,1.3745191097259521,1.8073443412780723
gRefCOCO restricted Full,Frozen base,positive,73,11563,0.4203281089130953,0.11180275867803917,0.2030467927455902,0.27766668498516084,0.34650132060050964,0.40010231733322144,0.47296425700187683,0.6461224138736724,0.7528052830696105
gRefCOCO restricted Full,Frozen base,no-target,73,9121,0.3409357439637145,0.11042269352085456,0.07583322823047638,0.1482967585325241,0.2751083970069885,0.34425121545791626,0.40676814317703247,0.523009181022644,0.6241331815719603
gRefCOCO restricted Full,Isolated rejector,positive,73,11563,1.2265851544597246,0.4398176113288245,0.05608603060245518,0.6018787860870362,0.945587694644928,1.1800956726074219,1.5040227770805359,2.0208470344543454,2.2170788431167603
gRefCOCO restricted Full,Isolated rejector,no-target,73,9121,0.8151743421125812,0.555327876832195,-0.6351278185844421,-0.29478293657302856,0.520569920539856,0.878601610660553,1.1695635318756104,1.6427898406982422,1.9996576786041258
