panel,benchmark,route,seed,series,kind,quantile,score,value,registry_key,source_path,source_sha256,notes
1b,FineCops-Ref,Frozen base,42,negative-text,cdf_knot,0.05,0.19230527952313425,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-text,cdf_knot,0.25,0.3053958937525749,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-text,cdf_knot,0.5,0.3742673695087433,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-text,cdf_knot,0.75,0.45593737065792084,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-text,cdf_knot,0.95,0.5664771676063538,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-text,cdf_knot,0.99,0.6265640032291414,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-image,cdf_knot,0.01,0.0688957293331623,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-image,cdf_knot,0.05,0.15970633178949356,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-image,cdf_knot,0.25,0.2940487712621689,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-image,cdf_knot,0.5,0.3643166720867157,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-image,cdf_knot,0.75,0.44837531447410583,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-image,cdf_knot,0.95,0.5639463901519776,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-image,cdf_knot,0.99,0.6247998118400574,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,positive,cdf_knot,0.01,-0.5312105894088744,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,positive,cdf_knot,0.05,-0.09706677198410034,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,positive,cdf_knot,0.25,0.38968026638031006,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,positive,cdf_knot,0.5,0.7083078622817993,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,positive,cdf_knot,0.75,1.0668456554412842,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,positive,cdf_knot,0.95,1.5669296264648436,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,positive,cdf_knot,0.99,1.8463114213943477,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-text,cdf_knot,0.01,-0.8929610854387283,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-text,cdf_knot,0.05,-0.507699978351593,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-text,cdf_knot,0.25,0.197647325694561,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-text,cdf_knot,0.5,0.5654220283031464,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-text,cdf_knot,0.75,0.9467585533857346,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-text,cdf_knot,0.95,1.4644360542297363,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-text,cdf_knot,0.99,1.7380357360839844,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-image,cdf_knot,0.01,-0.926259218454361,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-image,cdf_knot,0.05,-0.6505736708641052,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-image,cdf_knot,0.25,0.12992316484451294,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-image,cdf_knot,0.5,0.513579249382019,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-image,cdf_knot,0.75,0.9134379029273987,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-image,cdf_knot,0.95,1.4477072715759278,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,negative-image,cdf_knot,0.99,1.7221007394790657,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2b,FineCops-Ref,Isolated rejector,42,positive,domain_positive_q05,0.05,-0.09706677198410034,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,"domain q05 from committed quantile receipt; diagnostic, not deployment calibration"
2b,FineCops-Ref,Isolated rejector,42,isolated_rejector,sealed_source_tau,,0.31912317872047424,0.31912317872047424,cross_benchmark.sealed_source_tau.seed42,paper/data/confidence_anatomy.json,5f348cd992b9cd4dcbacb0539d7990bef7cf2a80819de2a4d67bdb868543cc08,copied from sealed D3 calibration; never fitted on an external benchmark
2b,FineCops-Ref,Isolated rejector,17/42/73 mean,isolated_rejector,fixed_tau_positive_tpr,,0.8004511539128926,0.8004511539128926,cross_benchmark.finecops.fixed_tpr,paper/data/confidence_anatomy.json,5f348cd992b9cd4dcbacb0539d7990bef7cf2a80819de2a4d67bdb868543cc08,point estimate only; no D3-vs-base rejection bootstrap receipt exists
1c,gRefCOCO restricted Full,Frozen base,42,positive,cdf_knot,0.01,0.2030467927455902,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,positive,cdf_knot,0.05,0.27766668498516084,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,positive,cdf_knot,0.25,0.34650132060050964,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,positive,cdf_knot,0.5,0.40010231733322144,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,positive,cdf_knot,0.75,0.47296425700187683,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,positive,cdf_knot,0.95,0.6461224138736724,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,positive,cdf_knot,0.99,0.7528052830696105,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,no-target,cdf_knot,0.01,0.07583322823047638,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,no-target,cdf_knot,0.05,0.1482967585325241,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,no-target,cdf_knot,0.25,0.2751083970069885,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,no-target,cdf_knot,0.5,0.34425121545791626,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,no-target,cdf_knot,0.75,0.40676814317703247,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,no-target,cdf_knot,0.95,0.523009181022644,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1c,gRefCOCO restricted Full,Frozen base,42,no-target,cdf_knot,0.99,0.6241331815719603,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,positive,cdf_knot,0.01,-0.43534393310546876,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,positive,cdf_knot,0.05,0.14210453033447265,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,positive,cdf_knot,0.25,0.5506904721260071,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,positive,cdf_knot,0.5,0.8280245065689087,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,positive,cdf_knot,0.75,1.2140379548072815,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,positive,cdf_knot,0.95,1.8466508626937863,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,positive,cdf_knot,0.99,2.084419975280761,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,no-target,cdf_knot,0.01,-0.9664340138435363,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,no-target,cdf_knot,0.05,-0.7289804220199585,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,no-target,cdf_knot,0.25,0.06206926703453064,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,no-target,cdf_knot,0.5,0.45992445945739746,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,no-target,cdf_knot,0.75,0.8008682131767273,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,no-target,cdf_knot,0.95,1.3745191097259521,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,no-target,cdf_knot,0.99,1.8073443412780723,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2c,gRefCOCO restricted Full,Isolated rejector,42,positive,domain_positive_q05,0.05,0.14210453033447265,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,"domain q05 from committed quantile receipt; diagnostic, not deployment calibration"
2c,gRefCOCO restricted Full,Isolated rejector,42,isolated_rejector,sealed_source_tau,,0.31912317872047424,0.31912317872047424,cross_benchmark.sealed_source_tau.seed42,paper/data/confidence_anatomy.json,5f348cd992b9cd4dcbacb0539d7990bef7cf2a80819de2a4d67bdb868543cc08,copied from sealed D3 calibration; never fitted on an external benchmark
2c,gRefCOCO restricted Full,Isolated rejector,17/42/73 mean,isolated_rejector,fixed_tau_positive_tpr,,0.9010349102020814,0.9010349102020814,cross_benchmark.grefcoco.fixed_tpr,paper/data/confidence_anatomy.json,5f348cd992b9cd4dcbacb0539d7990bef7cf2a80819de2a4d67bdb868543cc08,paired stratified image-cluster bootstrap is available for ordering gains
all,all,all,all,receipt,receipt_binding,,,,,data/confidence_anatomy.json,5f348cd992b9cd4dcbacb0539d7990bef7cf2a80819de2a4d67bdb868543cc08,zero-training confidence-anatomy receipt; no model output is read by this renderer
